,anticluster_stimuli,Var2,Freq
907,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/handvacuum.png,1
919,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/papershredder.png,1
925,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gutteranddrainpipe.png,1
934,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/funnel.png,1
952,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/rollercoaster.png,1
961,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lantern03.png,1
970,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gamecontroller01.png,1
979,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jarofapplesauce.png,1
985,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/scissorlift.png,1
1000,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/Jesusstatue.png,1
1009,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fanheater.png,1
1018,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fluorescentlightbulb.png,1
1027,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lunchbag.png,1
1045,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/patiochair.png,1
1057,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/plantpot.png,1
1069,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/couch02.png,1
1081,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/storagebin.png,1
1111,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/soundmixer.png,1
1114,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/campfire.png,1
1123,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gong.png,1
1129,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cakeplatter.png,1
1138,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/desktopcomputer.png,1
1147,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/nintendods.png,1
1156,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/espressomachine.png,1
1162,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/drinkshaker.png,1
1165,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/firtree.png,1
1177,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/electricitymeter.png,1
1183,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/poloshirt.png,1
1189,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cashregister01.png,1
1195,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dishrack.png,1
1207,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cork02.png,1
1210,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/onewaysign.png,1
1219,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lilypad.png,1
1228,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/nametag01a.png,1
1237,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/minifridge.png,1
1252,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/phonejack.png,1
1255,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/faucet.png,1
1264,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/memorialplaque.png,1
1273,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shoppingcart.png,1
1282,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toysoldier01b.png,1
1291,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/martiniglass01b.png,1
1303,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bread.png,1
1315,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wetfloorsign.png,1
1318,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cremebrulee.png,1
1327,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/saladspinner.png,1
1330,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pouch01b.png,1
1339,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/addressplate.png,1
1345,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/entrancegate.png,1
1360,1,https://memcog.fernuni.ch/studies/prm_wm_s1/images/spicerack.png,1
5,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/linedpaper.png,1
17,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/frenchfries.png,1
26,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pumpkin.png,1
32,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/donotwalksign.png,1
41,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/handcuffs.png,1
47,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/maraca01.png,1
56,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/eggslicer.png,1
65,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/tortillachip.png,1
77,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hockeypuck.png,1
86,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cherrytomato01.png,1
95,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/weddingcake.png,1
107,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/eye.png,1
119,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/swimsuit.png,1
122,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bowlofcereal.png,1
125,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/garbagebin.png,1
128,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/snowglobe.png,1
137,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/painting.png,1
140,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dresser02.png,1
152,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/woodenshoe.png,1
155,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/artichoke01b.png,1
161,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/diploma01.png,1
170,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sportsjersey.png,1
179,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sink.png,1
182,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/diaperbag.png,1
194,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/guacamole.png,1
203,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/brainmodel.png,1
206,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/basketball01.png,1
218,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/apron.png,1
221,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/turnstile.png,1
224,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/trailerhitchball.png,1
233,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/windowblinds02.png,1
242,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/waterfountain02.png,1
251,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pokerchips.png,1
263,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/spiderweb.png,1
269,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toytanktruck.png,1
281,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/portapotty.png,1
284,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chiliflake.png,1
287,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hibiscusflower02.png,1
293,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fuse.png,1
302,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shield02.png,1
308,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/dormer.png,1
323,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/stroller.png,1
329,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/balcony02.png,1
335,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/fingernail02.png,1
338,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cowbell.png,1
347,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gazebo.png,1
356,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/foosballtable.png,1
368,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/television.png,1
374,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/licenseplate.png,1
383,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/daisy.png,1
401,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chocolatechip.png,1
410,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shed02.png,1
422,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/boxtruck.png,1
434,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cookingpot.png,1
449,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/maplebuttercone.png,1
458,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/charcoalbarbecue.png,1
464,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/christmastree.png,1
473,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/recyclingbin.png,1
485,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/faxmachine.png,1
497,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/castle.png,1
506,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/keyboard.png,1
521,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/rainboot.png,1
533,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/postalmailbox01.png,1
542,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hamslice.png,1
551,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/star.png,1
560,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/airconditioner.png,1
563,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pintofbeer.png,1
572,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/alarmsystem.png,1
581,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/coffeemachine.png,1
590,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/kiwi03.png,1
593,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shotglass.png,1
602,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/powerchair.png,1
611,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/brownsugar.png,1
620,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cartonofeggs.png,1
629,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hangar.png,1
638,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/calendar.png,1
650,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/boxtrailer.png,1
662,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/toilet.png,1
680,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/washingmachine.png,1
689,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/spacerover.png,1
692,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/moon.png,1
701,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gps.png,1
710,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/electricmixer.png,1
719,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/floortile02.png,1
737,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/treetrunk.png,1
743,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/muffintray01.png,1
752,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/aceofdiamond.png,1
767,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/nose.png,1
782,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/salsa.png,1
785,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pin.png,1
794,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/barn.png,1
800,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/carbattery.png,1
812,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/blender.png,1
821,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/taxisign.png,1
836,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jumpercables.png,1
845,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/smartboard.png,1
851,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chandelier.png,1
869,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/corkboard.png,1
881,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/brassknuckle.png,1
911,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sprinkler.png,1
914,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/breadslice.png,1
929,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/videotape01b.png,1
938,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/travelmug.png,1
944,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/menwashroomsign.png,1
947,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/crosscountryboot.png,1
956,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bikerack.png,1
965,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bolt01a.png,1
974,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gardenutilityvehicle.png,1
983,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wallclock.png,1
989,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/popcorn.png,1
995,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bun.png,1
1004,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/icemaker.png,1
1013,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/djmixer01.png,1
1022,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/footrest02.png,1
1031,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/contactlens.png,1
1040,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/puzzle.png,1
1049,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bust.png,1
1052,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/candydispenser.png,1
1061,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jokercard.png,1
1073,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/nightstand.png,1
1076,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/waders.png,1
1085,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/castletower.png,1
1091,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/officecabinet.png,1
1100,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/sandcastle.png,1
1106,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/jeans01.png,1
1118,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/greathornowl.png,1
1127,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/table01.png,1
1133,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/firstaidkit.png,1
1142,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cloud.png,1
1151,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shopvac.png,1
1169,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/safetyglasses.png,1
1181,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/ducttape.png,1
1187,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hotdog.png,1
1199,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/goldnugget.png,1
1202,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/securitycamera.png,1
1214,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lighthouse.png,1
1223,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gearshift.png,1
1232,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/firealarm.png,1
1241,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wheelchair.png,1
1247,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/magneticcompass.png,1
1259,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/compostbin.png,1
1268,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/kidbicycle.png,1
1277,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/desk02.png,1
1286,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/rubikcube.png,1
1295,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bus.png,1
1298,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/parachute.png,1
1307,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/megaphone.png,1
1322,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/scanner.png,1
1334,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/escalator.png,1
1343,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shower.png,1
1358,2,https://memcog.fernuni.ch/studies/prm_wm_s1/images/road02.png,1
9,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/penne.png,1
15,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bluecheese.png,1
24,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/outdoorchair.png,1
30,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/mortarandpestle.png,1
36,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/callbell.png,1
45,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/oven.png,1
51,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/exitsign.png,1
60,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/nosmokingsign.png,1
69,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/playground.png,1
72,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gardenswing.png,1
81,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/ballofstring.png,1
90,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/chimney.png,1
99,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/redonion.png,1
114,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/acorn.png,1
132,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/gasburner.png,1
144,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/cruiseship.png,1
147,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/airvent.png,1
165,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/pipe.png,1
174,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bed.png,1
186,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/hockeygoalieglove.png,1
192,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/phonebooth.png,1
198,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/lightswitch01.png,1
210,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/showerhead01.png,1
228,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/steamroller.png,1
240,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/slushiemachine.png,1
246,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/bucket02.png,1
255,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/snowman.png,1
267,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/floodlight.png,1
273,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/urinal.png,1
279,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/shoulder.png,1
297,3,https://memcog.fernuni.ch/studies/prm_wm_s1/images/wafflemaker.png,1
